DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode,longitude,latitude,x_utm44n,y_utm44n
South Garo Hills,Meghalaya,17,3,295,90.585297,25.301620,1467755.9,2833160.1
South Goa,Goa,30,2,586,74.118436,15.196355,-240687.5,1691744.4
South Tripura,Tripura,16,2,290,91.609550,23.368451,1588598.6,2624598.9
South West,NCT of Delhi,7,8,97,77.027363,28.572377,111313.6,3167061.5
Srikakulam,Andhra Pradesh,28,11,542,83.988096,18.578563,815394.7,2056819.4
Srinagar,Jammu & Kashmir,1,10,10,74.914761,34.175779,-61189.8,3798424.4
Sultanpur,Uttar Pradesh,9,48,179,82.020115,26.274927,601855.2,2906532.2
Sundargarh,Odisha,21,5,374,84.510577,22.079776,862325.5,2445833.2
Supaul,Bihar,10,6,208,86.800091,26.247697,1079843.7,2916124.2
Surat,Gujarat,24,25,492,73.071999,21.265958,-324431.1,2372362.0
Surendranagar,Gujarat,24,8,475,71.540113,22.798192,-474014.9,2552532.0
Surguja,Chhattisgarh,22,2,401,83.219401,23.357765,726882.9,2584867.9
Tamenglong,Manipur,14,2,273,93.527260,24.947273,1771216.3,2818358.3
Tarn Taran,Punjab,3,16,50,74.844609,31.337325,-86072.8,3483398.9
Tawang,Arunanchal Pradesh,12,1,245,91.953578,27.661860,1584098.4,3108239.2
Tehri Garhwal,Uttarakhand,5,4,59,78.537018,30.437350,263463.9,3369825.4
Thane,Maharashtra,27,21,517,73.150900,19.599155,-325129.4,2186167.0
Thanjavur,Tamil Nadu,33,19,620,79.241305,10.671518,307635.4,1180206.3
The Dangs,Gujarat,24,22,489,73.701288,20.804353,-261080.2,2317777.7
The Nilgiris,Tamil Nadu,33,10,611,76.641877,11.455893,24222.9,1269987.5
Theni,Tamil Nadu,33,23,624,77.439358,9.890243,109401.2,1095364.0
Thiruvallur,Tamil Nadu,33,1,602,79.939968,13.243085,385155.7,1464261.3
Thiruvananthapuram,Kerala,32,14,601,77.015000,8.608458,61191.7,953851.7
Thiruvarur,Tamil Nadu,33,18,619,79.535996,10.679886,339880.2,1180963.8
Thoothukkudi,Tamil Nadu,33,26,627,78.004430,8.890839,170502.9,984115.8
Thoubal,Manipur,14,5,276,93.971612,24.530826,1821319.8,2775821.3
Thrissur,Kerala,32,7,594,76.316150,10.471178,-13109.7,1161326.3
Tikamgarh,Madhya Pradesh,23,7,424,78.946663,24.988304,292750.0,2765221.9
Tinsukia,Assam,18,10,309,95.626500,27.578576,1952696.8,3137598.4
