DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode,_sum,_sum_1,_sum_2,_sum_3,_sum_4,_sum_5,_sum_6,_sum_7,_sum_8,_sum_9,_sum_10,_sum_11,_sum,_sum_1,_sum_2,_sum_3,_sum_4,_sum_5,_sum_6,_sum_7,_sum_8,_sum_9,_sum_10,_sum_11
Aurangabad,Bihar,10,33,235,19351.58001,26977.90998,24918.06999,24843.28996,21425.01,7559.50999,16265.00999,18363.98999,13512.19999,20032.82999,27732.37998,37000.80999,24450.89998,23786.67996,24513.63999,21991.26999,24588.47999,22838.91998,15400.90999,13620.93998,15323.26999,25061.40998,26257.08999,22869.94
Aurangabad,Maharashtra,27,19,515,42198.61998,57717.23996,59063.55993,63202.73998,59342.25995,20739.37998,40226.02996,42971.05993,18810.23995,44456.57991,57227.75996,62420.91994,44959.90996,49423.92,57543.23999,54953.80995,57931.73992,53797.41996,735.6299984,37249.30998,22818.67998,48986.94995,43871.20999,43059.42998
Azamgarh,Uttar Pradesh,9,60,191,26224.04998,38142.03996,35008.85998,36085.17998,31918.86999,17615.84999,24155.34999,24409.47999,24452.23998,27434.10998,34012.24998,44956.76998,32431.35999,36966.04998,37138.83999,33646.58997,44705.26998,37217.63999,24773.99998,18241.68999,19804.40999,29587.52997,35927.21998,30171.22997
Badgam,Jammu & Kashmir,1,2,2,7814.619994,8004.309991,7553.359994,8329.259993,8586.92999,9922.34998,8090.419998,8592.999991,9023.990011,9465.439996,9016.469995,8115.919996,7491.929996,8553.139997,7022.649999,8264.409995,7600.339997,7935.649997,7856.939998,7731.089998,7983.349994,8407.989991,6593.960002,6377.230001
Bagalkot,Karnataka,29,2,556,20518.54999,29870.87999,30712.81995,30181.83995,28824.40994,32265.08999,25798.26999,17983.93996,25351.28996,22175.80997,30293.38997,31554.95995,22799.04,24711.5,27800.22997,24590.78998,27194.69996,23628.12997,15547.67999,18928.14997,10929.98,28741.80995,23781.83001,22205.52999
Bageshwar,Uttarakhand,5,8,63,1683.37,4798.880004,4393.480004,4790.800005,5518.459989,4689.379996,5291.429989,3852.649999,5229.599988,5282.560003,5994.699999,7365.769982,2705.180001,3064.290001,3888.91,4212.580006,9974.759997,4803.929998,3132.720003,2625.359999,3585.970003,5714.699993,4530.630002,3103.210001
Baghpat,Uttar Pradesh,9,8,139,10575.69,14077.70999,12355.35,12901.4,11473.09999,10346.81,9853.370003,9999.410003,10860.06,11622.63999,12814.85999,15146.04001,14980.76,13861.15,15921.99,16600.31001,13442.79,11219.15999,11717.66,10431.77,10759.39001,15701.60999,12473.35,11836.47
Bahraich,Uttar Pradesh,9,49,180,13877.84999,22899.46,20491.32999,21202.11998,19776.64997,19591.61999,19403.51999,16946.41998,15964.51998,21101.34999,19045.59999,27045.96998,18157.37998,17543.59,24087.34999,21604.91999,25786.54997,18398.44999,13493.94999,14921.45999,15469.05999,24594.79997,22680.13,18934.60999
Baksa,Assam,18,25,324,3896.769999,7195.809988,7379.479989,6636.839981,5531.099988,5218.299992,990.1099983,4916.329992,5570.239989,7073.839986,7498.199986,8287.719992,6407.759994,6609.449991,5946.699989,6569.849987,5436.15999,5280.71999,599.9200005,3833.769999,4678.149991,7288.169988,6330.289989,4972.199997
Balaghat,Madhya Pradesh,23,40,457,8230.26999,20795.33999,22084.70999,25985.09991,25328.43996,4638.249998,15961.43997,7703.039996,19046.69998,21543.07999,21497.07998,25916.83998,11720.70999,15489.65,19266.67999,25864.96998,25031.78998,16643.99,9159.649998,13006.15,4934.049994,24074.76,15104.04,12738.52999
Balangir,Odisha,21,24,393,11994.95999,21774.74998,23149.76996,25199.09995,23956.36996,17758.49998,12452.25998,1660.289996,18567.75997,20481.54997,24208.60998,26508.05996,16150.74998,19779.4,21013.92998,21692.30997,21957.55997,18795.06997,7402.450004,11866.47,10324.94999,19490.43999,17505.49998,16051.31998
Baleshwar,Odisha,21,8,377,14205.27999,20236.02998,20935.17999,19688.40998,16877.29998,16210.58998,17864.42998,11714.94,928.2499992,18052.80998,19661.10999,24093.02999,16480.01999,20525.09999,18270.12998,18030.55999,18597.57998,16990.33998,10711.54999,14203.05999,14907.85999,20601.78999,16133.64998,15682.15
Ballia,Uttar Pradesh,9,62,193,23879.52999,31608.21,29062.70998,28543.51999,24643.76999,13722.74998,8245.449996,18240.13999,19888.51,20253.05998,27433.89998,37791.96999,25985.10999,26813.57998,27630.48998,24473.21999,34055.95,29689.25,16565.31998,14850,16101.07999,24571.98999,28272.40998,25407.73
Balrampur,Uttar Pradesh,9,51,182,8057.700001,13755.60998,13282.07998,14673.81998,13290.08998,10883.45998,10224.56999,11251.92998,11524.85998,13941.62998,12765.26998,18405.87998,10751.14,11141.00999,13315.52999,13916.22998,15081.82999,11063.66999,8215.77999,7530.580001,9343.73,13857.51997,13634.42999,11554.35
Banas Kantha,Gujarat,24,2,469,32412.05997,44298.79998,44538.50995,42387.99993,40405.60995,34430.53994,30145.46996,26282.95995,35441.56994,40935.79995,42533.98996,45917.72994,34883.96998,41809.27996,42000.86997,44590.34997,40812.26998,36217.97997,27945.19996,19454.96,34143.22996,39779.02996,35800.77995,33227.98997
Banda,Uttar Pradesh,9,39,170,10490.61999,19513.09997,17422.53996,19331.20998,16994.90997,13409.08997,13437.95998,13097.73996,13668.67996,16902.19995,18023.97997,21626.85998,15073.73999,15248.97998,17375.01998,17959.22996,20313.27996,15929.74997,10015.17,9533.93,13201.04996,16110.24996,15595.73999,13317.54998
Bandipore,Jammu & Kashmir,1,9,9,3432.289999,5545.919992,4615.000014,5115.770008,5471.099996,0,4392.660014,4797.23001,4758.590018,5115.74002,6283.049977,6840.659967,4882.240023,4156.430003,5212.070001,4792.40001,4473.600012,750.6799989,3871.570001,3261,3942.959995,6032.339971,5312.749991,4452.250011
Bangalore Rural,Karnataka,29,29,583,32812.26003,37701.64004,34770.87998,33379.18999,31160.48995,31798.50997,13949.89,20939.54002,30532.49999,31990.06,32210.60005,33057.22998,32437.32,29943.49001,35799.03001,32838.11001,32510.62001,38068.74995,38743.80996,33137.11004,23903.75001,27646.17998,31577.91003,32441.93997
Bangalore,Karnataka,29,18,572,225159.39,232218.53,215008.52,199869.6899,170366.05,126388.15,62973.08004,132393.9699,121831.89,139963.63,188130.94,187258.0999,238019.1698,219849.89,228158.4101,217473.1901,192571.62,184402.2699,202972.4101,163242.2301,167087.81,160474.51,202824.84,208984.2799
Banka,Bihar,10,23,225,13064.52999,17112.13998,17252.94998,17132.35999,13537.23998,11233.84998,5747.279989,12154.37998,11657.35998,14267.16998,18219.17998,29057.78999,14882.75998,17075.16999,15331.40999,12827.99998,14111.23998,13217.70999,9332.759992,10220.75998,10898.14998,22217.08999,18744.11998,15304.29999
Bankura,West Bengal,19,13,339,22100.19999,31214.49997,32170.39996,35228.44998,28370.72996,23229.81996,23137.78996,16480.62998,1697.279997,29146.38994,28307.50995,40730.80997,25264.02998,33557.40998,28231.56997,27327.28995,32076.37997,30398.57997,21242.92997,19651.80999,23390.00996,37192.05997,26533.42998,24102.26999
Banswara,Rajasthan,8,27,125,15052.40998,22698.70997,22987.78999,24141.62998,22140.00998,12467.13997,13931.33998,11040.64997,9826.43997,17254.51997,18864.48997,20193.04998,13054.59999,15136.89998,19639.87997,22139.27998,21508.29999,17837.21997,10785.12999,7872.700007,11173.70998,16771.11997,14657.09999,13757.04999
Bara Banki,Uttar Pradesh,9,45,176,18438.12998,28981.46999,23942.45998,23000.26999,20820.39999,20279.75998,20031.14998,18570.33999,17831.65998,22356.3,23352.12998,28535.58,21458.73998,23574.83999,32678.16998,24607.81997,29320.09998,21881.82999,18266.10999,16581.02998,16346.38999,25279.47998,24631.61998,22711.46998
Bargarh,Odisha,21,1,370,10781.75,18616.05998,19854.08998,21689.79996,20780.15996,13972.06,9088.829993,1415.289997,6398.399987,17958.59998,21249.9,23849.93997,14806.43999,17012.16999,18656.40998,19048.85998,21752.17997,16809.73997,4599.559999,10764.49,12040.88999,17766.07998,15745.49998,14263.91999
Baramula,Jammu & Kashmir,1,8,8,8767.559992,9084.209994,8483.779992,9679.279997,11339.03999,10377.36999,10257.38999,10544.45999,11176.69999,11545.12999,10366.14,9168.489988,8942.689996,8903.500002,7941.299995,10260.01999,10145.24,9887.380008,10727.68001,9529.37999,10598.55999,10634.72,7414.869987,7156.570004
Baran,Rajasthan,8,30,128,24738.65,36196.53997,33896.32997,58690.22997,32221.30995,16732.91999,29277.71997,21726.59995,19808.09996,28002.97997,33822.12997,37398.32995,30582.18,30870.09998,34902.03997,38372.91996,51319.94998,30061.24997,18615.99998,18201.29998,20876.10998,30140.82996,27964.33997,27674.02997
Barddhaman,West Bengal,19,9,335,74078.29003,85446.94003,88571.09992,88672.71999,70174.91996,58151.22,45770.39001,43060.97998,8960.570005,72772.27996,77675.67997,104623.23,82050.96001,100087.8,75599.06998,64893.01996,73744.65998,69257.22001,51056.54995,52599.67999,54097.07997,90638.77,72541.55998,77880.12998
Bareilly,Uttar Pradesh,9,19,150,28657.56996,42686.20001,32968.11997,31859.49,29315.33,29843.85,25509.86,23651.18997,26670.72998,33569.20999,33143.08,50212.59995,33267.36997,33455.88996,38555.45,33833.23998,35065.71999,27133.09998,25162.27999,21735.85997,22919.65998,40063.86999,39748.66998,33025.87996
Barmer,Rajasthan,8,17,115,52827.69998,83400.91005,87083.29988,89414.03964,84579.89984,79305.96997,73037.97015,62079.77012,81058.48989,82497.76002,84813.03003,93483.8298,45960.26998,59191.58001,68870.66997,81969.24,72198.55011,63432.72005,61501.36003,48065.11008,70077.15001,72787.36008,68450.72004,53020.23001
Barnala,Punjab,3,20,54,8049.039999,11257.29,10505.99999,11239.83,8795.319989,9045.169998,8539.069996,9228.519994,9637.669993,12109.47999,10069.45,13153.63999,9112.719993,9434.809986,9000.989984,10393.67,9833.329992,7969.989992,8991.309998,9211.84,9062.38999,14278.83,10679.37,9177.249995
Barpeta,Assam,18,4,303,4273.669997,7436.099995,7916.929992,8614.239988,5867.389991,4635.109993,2043.859996,4818.089991,4961.719996,7481.179992,7759.889992,8844.169988,5560.069989,5609.649993,6150.379989,6823.58999,5486.589992,5456.02999,2607.610001,3677.340003,3584.220001,7618.059994,6454.079991,4782.179997
Barwani,Madhya Pradesh,23,24,441,10019.07999,18259.14997,19137.86997,21251.50996,17822.86995,10000.41998,14062.18997,9804.529994,4790.979989,18713.55998,15092.04999,18886.11996,11131.49,13570.81999,16878.38998,18672.09998,18685.98997,15581.28998,5089.069993,5786.339999,5041.459994,19019.83998,11743.56999,10996.53
Bastar,Chhattisgarh,22,15,414,10241.76,26048.1,27200.74001,30101.3099,27826.83997,15882.93,12646.37,5236.629994,25477.94997,22867.62001,26537.88,29066.40999,14159.78,19001.44,24669.99998,24299.00002,26328.72999,21665.89001,365.0600001,13397.04999,14241.62,22204.2,19371.73001,17530.88
Basti,Uttar Pradesh,9,54,185,12599.34999,18156.56999,16546.07,17020.84,15487.18999,9878.009981,9693.089995,13588.87999,13711.46999,15193.88999,17964.11998,23157.95998,18100.49999,18171.64999,19054.97,24561.04999,24824.10999,15704.50998,11503.60998,10277.73998,11158.28999,18596.81998,17885.80998,16501.88999
Bathinda,Punjab,3,12,46,29504.82997,35667.95999,35003.86,34611.50001,30797.00998,28442.41999,28086.81999,30453.55,32661.49,38028.92998,31097.17996,37264.42,31732.30998,35355.21997,35509.39,37352.54999,35578.45,29250.12001,31489.08999,32610.06999,35788.13003,42962.63002,33524.04001,31346.21998
Bauda,Odisha,21,22,391,2200.59,5938.979995,7152.329997,9763.049968,7702.859984,5047.039999,2181.209998,3682.229994,6033.829993,6680.879998,6601.269993,7551.639996,3160.509997,4964.629999,5779.639998,7138.659997,6555.349995,6836.419994,1809.400001,3825.490002,4204.23,6539.329999,4855.589998,3334.349999
Begusarai,Bihar,10,20,222,21409.69997,24958.42999,24461.03998,21489.52,22199.33999,20633.01991,14433.80001,19382.98001,23693.52012,18901.28999,25487.98,33768.19998,17671.21002,18829.3,18818.26,18757.52001,19139.34001,18745.36,12317.58999,19587.38997,17288.61998,25282.21998,23085.97999,22387.59
Belgaum,Karnataka,29,1,555,43118.47996,65321.61995,65525.77994,62436.98991,61465.86994,65002.88991,39595.70999,43513.85993,46127.28993,42959.17995,63412.97997,65318.28991,46717.05997,55742.27993,61584.98997,55438.60995,61768.46992,52299.86994,22120.23996,33684.78999,29422.80999,61361.06994,48783.63998,47041.01002
Bellary,Karnataka,29,11,565,36810.24997,51544.3,54329.85001,49615.52995,48284.08996,51170.14001,36227.69994,19404.55998,30911.38996,44559.61999,49609.85998,49994.63995,43727.10993,46163.39994,53577.77996,45511.77999,52112.55,47739.55002,10451.82999,30367.94996,21636.65998,49683.16993,42163.15001,40058.12001
Betul,Madhya Pradesh,23,30,447,9689.73,24078.03999,25670.05998,30181.9299,27779.92996,9349.449993,20201.46001,22640.36998,25118.38994,24737.1,22431.48,29615.51996,15447.98999,19541.26999,25263.40999,28613.74,29204.16998,22975.12998,2405.26,19635.69999,8345.660006,27998.03998,17786.64,14535.67999
Bhadrak,Odisha,21,9,378,7999.999994,11887.47999,12358.02998,11837.84999,10637.08998,9212.579982,10317.88998,7805.419992,4165.279994,11889.50998,12092.53999,14317.20999,8951.189988,12030.62,9934.899989,10104.34998,10007.14998,9576.209985,7917.91,7647.319996,10587.32001,11995.32999,10364.16999,9585.739992
Bhagalpur,Bihar,10,22,224,20747.14998,24737.87996,25263.47999,23308.82998,20218.50997,17133.50999,9652.789993,17594.03998,10860.63998,19435.32999,23280.68998,41942.08002,20570.57,24190.18001,22295.78999,19599.17999,18696.13998,18616.93,13229.30998,16007.68999,15538.43001,27340.15999,24654.49999,22869.57999
Bhandara,Maharashtra,27,10,506,7860.55,14412.10998,14229.52997,15100.52998,15114.71997,3936.639996,13056.21,7892.379982,11418.32999,13293.30998,13470.76999,16398.09997,9753.24999,11337.74998,13109.89999,13970.68998,14499.31998,9562.389996,1105.13,7186.879989,734.3099991,13791.54998,10810.43,10002.18999
Bharatpur,Rajasthan,8,7,105,26667.54999,36505.10998,33355.05997,35000.96999,29764.45999,24599.96996,22736.16998,22728.34999,24930.65999,29025.77998,30460.08998,32357.88998,29169.93998,30133.38998,35517.03999,36627.05999,35846.85999,24617.94996,23890.32996,29221.61997,26963.10997,37259.86997,33682.10998,29168.42997
Bharuch,Gujarat,24,21,488,54651.86997,64555.81001,72512.83002,61818.87994,56386.29999,52431.64,40368.91999,25436.72998,19622.81996,73930.10008,83038.60024,57628.29001,57402.30006,54835.58002,57804.01004,62790.12998,57507.48996,53086.03998,41463.75999,24729.60997,31986.39998,63907.90004,48176.43998,52519.22997
Bhavnagar,Gujarat,24,14,481,36332.25997,42541.53995,43512.85996,43655.94994,39313.66995,33556.71994,26605.78999,22869.47997,25055.49998,35089.51996,35876.65994,40359.45995,36200.17998,40176.83997,41473.94997,43705.92994,38403.97998,35082.70995,24177.48002,19194.95999,15528.79997,34863.93994,31257.94997,32910.84998
