DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode,20_mean,20_mean,20_mean,20_mean,20_mean,20_mean,20_mean,20_mean,20_mean,20_mean,20_mean,20_mean,19_mean,19_mean,19_mean,19_mean,19_mean,19_mean,19_mean,19_mean,19_mean,19_mean,19_mean,19_mean
Aurangabad,Bihar,10,33,235,1.148870815,1.601633221,1.47934398,1.474904415,1.271966872,0.448795416,0.965626335,1.090239254,0.802196628,1.189315483,1.646424839,2.196675967,1.45160888,1.412175253,1.455333649,1.305584778,1.459776774,1.355908334,0.914326169,0.808652338,0.909716813,1.487853834,1.558839349,1.357749941
Aurangabad,Maharashtra,27,19,515,0.839005487,1.147551295,1.174319229,1.256615635,1.179860425,0.412346508,0.799785867,0.854363367,0.373990774,0.883898917,1.137819309,1.241071257,0.893906274,0.982661047,1.144091776,1.09260796,1.151816047,1.069616271,0.014626014,0.740601837,0.453687768,0.973973078,0.872260418,0.856120367
Azamgarh,Uttar Pradesh,9,60,191,1.182381982,1.719736686,1.578468821,1.62699761,1.439148293,0.794258081,1.089109066,1.100567203,1.102495152,1.236940799,1.533533973,2.026997159,1.462255286,1.666714008,1.674504711,1.517047206,2.015657603,1.678057622,1.117002569,0.822475765,0.892935209,1.334033544,1.619875557,1.360351232
Badgam,Jammu & Kashmir,1,2,2,1.08235734,1.108630193,1.046171744,1.153637118,1.189325483,1.374286701,1.120556786,1.190166204,1.249860112,1.31100277,1.248818559,1.124088642,1.037663434,1.184645429,0.972666205,1.144655124,1.05267867,1.099120498,1.088218836,1.070788088,1.105727146,1.16454155,0.913290859,0.883272853
Bagalkot,Karnataka,29,2,556,0.641064454,0.933260849,0.959565718,0.942976222,0.900565812,1.008063548,0.80601962,0.561875214,0.792054549,0.692842502,0.946461398,0.985876838,0.712314181,0.772065486,0.868567188,0.768294123,0.849648513,0.738217576,0.48575874,0.591375323,0.341487175,0.897985127,0.743019652,0.69377105
Bageshwar,Uttarakhand,5,8,63,0.137082248,0.390788274,0.357775245,0.390130294,0.449385993,0.381871335,0.430898208,0.313733713,0.425863191,0.430175896,0.488167752,0.599818402,0.220291531,0.249535016,0.316686482,0.343043974,0.812276873,0.391199511,0.255107492,0.213791531,0.292017101,0.465366449,0.368943811,0.252704397
Baghpat,Uttar Pradesh,9,8,139,1.491634696,1.985572637,1.742644571,1.819661495,1.618208744,1.459352609,1.389755995,1.41035402,1.531743301,1.639300422,1.80745557,2.13625388,2.112942172,1.955028208,2.245696756,2.341369536,1.896021157,1.5823921,1.652702398,1.471335683,1.51754443,2.214613539,1.75928773,1.669459803
Bahraich,Uttar Pradesh,9,49,180,0.608624243,1.004274186,0.898663713,0.929835978,0.867320848,0.859206209,0.850956933,0.743198841,0.700136829,0.92541663,0.835260064,1.186122708,0.796306463,0.769388211,1.056370055,0.947501096,1.130889833,0.806878782,0.591788001,0.654392597,0.678408034,1.078624681,0.994655293,0.830392509
Baksa,Assam,18,25,324,0.314865061,0.581432611,0.596273432,0.536266967,0.44692146,0.421646735,0.080002424,0.397247091,0.450084033,0.571577245,0.605866192,0.669660633,0.517756948,0.534053813,0.480502585,0.530854071,0.439250161,0.426690368,0.048474467,0.309774564,0.378001777,0.588895442,0.511497252,0.401761474
Balaghat,Madhya Pradesh,23,40,457,0.176941781,0.447077009,0.47479705,0.558651157,0.544533688,0.099717289,0.343153459,0.165606914,0.409483166,0.463152599,0.462163649,0.557183643,0.251982414,0.333010492,0.414212495,0.556068495,0.538156039,0.357827536,0.196922432,0.279617964,0.106076665,0.517580943,0.324720299,0.273864428
Balangir,Odisha,21,24,393,0.366112993,0.664614046,0.706582729,0.769132862,0.731201964,0.542029118,0.380070811,0.050675762,0.566729542,0.62514269,0.738900894,0.809085247,0.492956994,0.603711504,0.641392119,0.662097792,0.670193815,0.573667551,0.225939322,0.362191191,0.315140554,0.594891798,0.534306992,0.489922168
Baleshwar,Odisha,21,8,377,0.730686692,1.0408945,1.076857157,1.012726196,0.86812921,0.833835192,0.918904891,0.602589373,0.047747029,0.928594722,1.011321948,1.239289645,0.847694048,1.055763592,0.939773159,0.927450233,0.956616428,0.873943726,0.550977315,0.730572501,0.76682578,1.059708348,0.829877577,0.806653464
Ballia,Uttar Pradesh,9,62,193,1.531033531,2.02655703,1.863352566,1.830064756,1.580032698,0.879832659,0.528656152,1.16946464,1.275149708,1.298522791,1.758921586,2.423028146,1.66603257,1.719149835,1.771525934,1.569097903,2.183493621,1.903523113,1.062083733,0.952106174,1.032319035,1.575430531,1.812682566,1.629013913
Balrampur,Uttar Pradesh,9,51,182,0.460914083,0.786844182,0.759757464,0.839367348,0.760215649,0.622552339,0.584862715,0.643629447,0.659241504,0.797484841,0.730195057,1.052847499,0.614983411,0.637284635,0.761670861,0.796031918,0.862706211,0.632860656,0.469956526,0.430761927,0.534477177,0.792673606,0.779912481,0.660928384
Banas Kantha,Gujarat,24,2,469,0.593866759,0.811660376,0.816052438,0.776649931,0.740327787,0.630850158,0.552337388,0.481566931,0.649374655,0.750042141,0.779324819,0.841323059,0.639158085,0.766046392,0.769556781,0.817002271,0.747778775,0.663600351,0.512023159,0.356461578,0.62558595,0.728847337,0.655956245,0.608816556
